Season,DayNum,IsTourney,TeamAID,TeamBID,ActualMargin,A_Won,NetRtg_Diff,P3Ar_Diff,Pace_Mean,Pace_Diff,OliverLearned_OOF,OliverResidual
2008,18,0,1196,1199,-14.0,0,28.744551056017897,-0.0168868004006402,71.21104166666666,-1.6070833333333354,19.666205407469853,-33.66620540746985
2008,19,0,1180,1259,2.0,1,8.646779484273736,-0.0157441353095971,72.65833333333333,0.63333333333334,1.223386792236381,0.776613207763619
2008,19,0,1195,1271,13.0,1,7.602175274565823,0.103626388331326,69.03625,0.2774999999999892,4.4974133133740475,8.502586686625953
2008,19,0,1216,1354,8.0,1,15.356262319094585,0.096339965610415,75.64500000000001,1.1599999999999966,7.436862733187444,0.5631372668125563
2008,19,0,1233,1238,-4.0,0,15.218386554273993,0.0227778808684357,74.26249999999999,-2.7450000000000188,6.045297998324505,-10.045297998324505
2008,19,0,1265,1350,2.0,1,-3.655798210061661,-0.0874723573639982,67.70750000000001,-1.5850000000000222,6.269549868790926,-4.269549868790926
2008,19,0,1298,1335,-4.0,0,7.630246207551224,0.0211803902903379,77.78312499999998,6.496249999999989,-2.918796526669323,-1.0812034733306768
2008,19,0,1234,1429,-13.0,0,26.43515814826516,0.1242214748380667,64.53916666666667,-2.163333333333334,10.896993318761172,-23.896993318761172
2008,20,0,1206,1376,1.0,1,-13.988558614891543,0.0638905213668037,71.7525,-2.385000000000005,-9.218397298067993,10.218397298067993
2008,20,0,1285,1290,7.0,1,48.80325731062085,0.0918268297417976,62.39729166666666,-1.559583333333343,23.587469857793522,-16.587469857793522
2008,20,0,1167,1337,-10.0,0,-9.14251526642272,-0.1129218607479476,77.29999999999998,-14.74499999999999,1.882386012939266,-11.882386012939266
2008,20,0,1360,1414,3.0,1,-14.764811973496748,-0.0123271562385953,67.755,-0.0600000000000022,-7.544573141831871,10.544573141831872
2008,20,0,1102,1450,-9.0,0,-22.31390033668208,0.1588166459445623,60.45375,0.2924999999999969,-13.08512581632548,4.08512581632548
2008,21,0,1153,1367,12.0,1,31.615989442114213,0.0785589434841717,67.90875,-2.517499999999984,20.224363620396925,-8.224363620396925
2008,21,0,1204,1273,11.0,1,7.588358930912037,-0.0071123755334281,73.8825,-4.179999999999993,7.821256125741534,3.1787438742584664
2008,21,0,1250,1312,9.0,1,33.42233396763527,-0.0588652482269503,69.5925,-3.765000000000001,25.916513213899,-16.916513213899
2008,21,0,1159,1323,-31.0,0,-12.116662472463332,-0.0298743559613124,67.49854166666668,-4.117916666666659,-10.604529325199469,-20.39547067480053
2008,22,0,1147,1322,15.0,1,11.747876818277192,0.0130621143258323,75.64833333333334,-9.161666666666676,7.881257801695245,7.118742198304755
2008,22,0,1171,1436,1.0,1,-7.594826089413402,0.019230073665047,70.9,-3.2250000000000085,1.841836108276414,-0.8418361082764141
2008,22,0,1181,1458,24.0,1,-12.104560664078534,0.0580722117722622,70.75416666666666,5.308333333333337,-1.4934108969470532,25.493410896947054
2008,22,0,1196,1391,23.0,1,54.97901683230472,0.028719486731711,68.07875000000001,2.4924999999999926,30.95593282517306,-7.955932825173061
2008,22,0,1224,1298,10.0,1,-24.146725534244297,-0.0469532382958929,76.759375,-9.231250000000005,-4.464440241765726,14.464440241765725
2008,22,0,1210,1231,-4.0,0,-23.82219312722701,0.0205387205387205,73.53375,-0.6224999999999881,-15.347671437830387,11.347671437830387
2008,22,0,1251,1255,24.0,1,3.536832789789784,0.0825556506849314,69.98250000000002,-7.959999999999994,4.541219512446107,19.458780487553895
2008,22,0,1122,1272,-22.0,0,-25.53986622521585,-0.0029411764705882,71.29374999999999,-9.037500000000009,-16.8369181371302,-5.163081862869799
